1,FIRSTCITY BANK
2,First Bank & Trust Co.
3,Manufacturers Bank
4,Winchester Co-operative Bank
5,Bank of Dixon County
6,LAKESIDE COMMUNITY BANK
7,COALMONT SAVINGS BANK
8,Clear Lake Bank and Trust Company
9,First National Bank of Wauchula
10,St. Landry Bank and Trust Company
11,PIERCE COMMERCIAL BANK
12,Valley Republic Bank
13,Ormsby State Bank
14,CHARTER WEST BANK
15,United Southern Bank
16,CAPITOL-UNION FSA
17,NATIONAL BANK OF FT. M HOUSTON
18,SUNBELT SAVINGS ASSOCIATION OF TEXAS
19,Monterey County Bank
20,SOUTHEASTERN SAVINGS
21,Trust Company of America
22,South Carolina Community Bank
23,AUGUSTA FSA
24,COMMUNITY CENTRAL BANK
25,Peoples Bank and Trust Company of Pointe Coupee Parish
26,Bristol County savings Bank
27,CITIZENS STATE BANK OF EAGLE BEND
28,Town-Country National Bank
29,First Financial Northwest Bank
30,Grant County State Bank
31,FIRST NATIONAL BANK OF WOODBINE
32,Clarkson Bank
33,First Federal Community Bank of Bucyrus
34,FIRST NATIONAL BANK OF FRISCO
35,Farmers Bank of Milton
36,FIRST SECURITY SB
37,Fairmount State Bank
38,Cattaraugus County Bank
39,Goose River Bank
40,Silver Lake Bank
41,CHARTER NATIONAL BANK AND TRUST
42,Luzerne Bank
43,Greensburg State Bank
44,CAPITAL BANK OF CALIFORNIA
45,State Bank of Industry
46,HEARNE BUILDING & LOAN
47,First Federal savings and Loan Association
48,Audubon State Bank
49,AMERICAN HERITAGE SAVINGS FA
50,WILSHIRE CENTER BANK
51,MENDON STATE BANK
52,State Bank of New Prague
53,Consumers National Bank
54,MIDCOUNTY BANK AND TRUST COMPANY
55,Citizens National Bank
56,Dart Bank
57,Covington County Bank
58,BOWIE NATIONAL BANK
59,Southern Bank
60,Farmers and Merchants State BankBloomfieldNebraska
61,FIRST MARINE BANK OF FLORIDA
62,Gerber State Bank
63,Valley Bank of Commerce
64,JONESBORO FEDERAL
65,West Plains Bank
66,First Shore Federal savings and Loan Association
67,Ameriserv Financial Bank
68,Center National Bank
69,Citizens Bank of Rogersville
70,Worthington Federal savings Bank
71,Ocean City Home Bank
72,Ipswich State Bank
73,Citizens State Bank of Milford
